expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.010980916023254395e+01,2.751661133852414842e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.010898089408874512e+01,2.352707219173987507e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011198902130126953e+01,2.577354356561424531e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.051077103614807129e+01,8.256772437915989027e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.010819196701049805e+01,2.201474764155989305e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.600000000000000000e+01,1.940179204940795898e+01,1.336514325150752747e+00,9.700000000000000000e+01
0.000000000000000000e+00,-6.900000000000000000e+01,1.596415400505065918e+01,1.071897384155129807e+00,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011074995994567871e+01,2.305713937980123696e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011195802688598633e+01,2.087365480120574102e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.000000000000000000e+00,3.245968103408813477e+00,1.500467946516097772e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021633601188659668e+01,1.302491472564177410e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.300000000000000000e+01,4.666779041290283203e+00,2.729880931956484291e-01,2.400000000000000000e+01
0.000000000000000000e+00,-3.500000000000000000e+01,9.125502109527587891e+00,4.409421422935787538e-01,4.600000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.028533935546875000e+00,1.093144863293972063e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021914386749267578e+01,1.591869107511630022e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.021598100662231445e+01,1.689132247927978447e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.400000000000000000e+01,2.109352302551269531e+01,1.188502965148405588e+00,1.050000000000000000e+02
0.000000000000000000e+00,-4.300000000000000000e+01,1.074996113777160645e+01,6.369645324111695706e-01,5.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.021776914596557617e+01,1.563084262880495956e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.000000000000000000e+00,2.638241052627563477e+00,2.236125616719570053e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.681139945983886719e+00,3.656711310191500530e-01,2.900000000000000000e+01
0.000000000000000000e+00,-3.600000000000000000e+01,9.329252958297729492e+00,6.690050343024933621e-01,4.700000000000000000e+01
0.000000000000000000e+00,-7.100000000000000000e+01,1.642469191551208496e+01,1.099556857368236606e+00,8.200000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.098806858062744141e+00,5.445171960211409035e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.056246995925903320e+00,2.723380785579072039e-01,2.100000000000000000e+01
0.000000000000000000e+00,-7.600000000000000000e+01,1.744012403488159180e+01,1.368473274300598064e+00,8.700000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.477573871612548828e+00,3.094721944770408295e-01,2.800000000000000000e+01
0.000000000000000000e+00,-6.500000000000000000e+01,1.521253705024719238e+01,9.634284394871527324e-01,7.600000000000000000e+01
0.000000000000000000e+00,-1.170000000000000000e+02,2.575632190704345703e+01,1.621565573586972286e+00,1.280000000000000000e+02
0.000000000000000000e+00,-7.100000000000000000e+01,1.642651700973510742e+01,1.199590698656864518e+00,8.200000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.476361036300659180e+00,3.064544204242486414e-01,2.800000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+01,1.014184498786926270e+01,7.901900400445649453e-01,5.100000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.478208065032958984e+00,2.658091083455504933e-01,2.800000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.852319955825805664e+00,1.986451149417023943e-01,2.000000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+01,1.419267082214355469e+01,6.165074731780572082e-01,7.100000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.637863874435424805e+00,1.211489470501568855e-01,1.400000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.029009103775024414e+00,1.286945994527426418e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.057188987731933594e+00,2.602528873726588921e-01,2.100000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.435317039489746094e+00,1.302854021447726329e-01,1.300000000000000000e+01
0.000000000000000000e+00,3.000000000000000000e+00,1.420727014541625977e+00,1.341412724225584940e-01,8.000000000000000000e+00
