expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.060000000000000000e+02,2.336430597305297852e+01,1.635763221885819796e+00,1.170000000000000000e+02
0.000000000000000000e+00,-6.900000000000000000e+01,1.591226983070373535e+01,1.067552780817733638e+00,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001085996627807617e+01,1.643293084925245839e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000938200950622559e+01,1.702152119507611694e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001123094558715820e+01,2.050056243287090574e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000979709625244141e+01,1.623814824677074942e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000660705566406250e+01,1.552824316710839536e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001045799255371094e+01,1.787181116701137773e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.700000000000000000e+01,7.451874017715454102e+00,3.176205276731927651e-01,3.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001241707801818848e+01,1.879372278511575622e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011988782882690430e+01,1.203311579481928018e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011927986145019531e+01,8.018723193138383998e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012064409255981445e+01,8.762395747484855724e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012115502357482910e+01,4.167856272457363676e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011795091629028320e+01,2.027970908707245890e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012126302719116211e+01,9.878535189687475127e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012269806861877441e+01,9.354941166786613360e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011992812156677246e+01,1.035333321797192729e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011906194686889648e+01,1.041106448804502316e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012022900581359863e+01,7.923956489951329285e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012242698669433594e+01,8.951142856551045357e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012115097045898438e+01,9.108803484383961591e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012488389015197754e+01,1.018640646446640208e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011808300018310547e+01,8.525700194922444242e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011948490142822266e+01,1.025614939074738885e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012120318412780762e+01,8.331840570990741712e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012033295631408691e+01,9.139011889400723287e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012316703796386719e+01,7.743800886325754584e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012317895889282227e+01,9.611426461966597889e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012116384506225586e+01,1.050063341146552531e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011894989013671875e+01,8.572037991010524882e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012097811698913574e+01,7.262051234584963044e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011756396293640137e+01,8.582022710639302110e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012059617042541504e+01,1.324212212893974394e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012247395515441895e+01,1.027197379256141296e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012039303779602051e+01,1.174113359385090760e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012047600746154785e+01,8.454360195835178837e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011924910545349121e+01,1.093242692108432834e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012013697624206543e+01,9.601530127110481372e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011856794357299805e+01,1.189189337862708529e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012511181831359863e+01,9.745605179477457858e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012016320228576660e+01,1.390078085231660987e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011852288246154785e+01,8.973634388422954133e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011725401878356934e+01,1.013531631822060630e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012086200714111328e+01,1.385859724887636979e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012331390380859375e+01,1.354797955791032349e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011907887458801270e+01,9.131593216253698353e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011987590789794922e+01,9.703556450288117752e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012177610397338867e+01,1.046299860129680459e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012022209167480469e+01,1.161675037108614861e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012267088890075684e+01,9.652141221467448462e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012039899826049805e+01,8.146503612533746441e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012230014801025391e+01,1.673222118481380916e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011752891540527344e+01,1.900096768950273463e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011958217620849609e+01,1.827600980112264795e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011959695816040039e+01,1.698593207442383513e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012329888343811035e+01,1.788168058218700951e+00,1.500000000000000000e+02
