Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
-1.500000000000000000e+02,3.010743904113769531e+01,1.286962139212775469e+00,1.500000000000000000e+02
-6.100000000000000000e+01,1.434728288650512695e+01,8.926476136258960636e-01,7.200000000000000000e+01
-1.500000000000000000e+02,3.010381388664245605e+01,1.717139485171842450e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.010291790962219238e+01,1.758787768841698407e+00,1.500000000000000000e+02
-1.100000000000000000e+02,2.425408101081848145e+01,1.362845903650920398e+00,1.210000000000000000e+02
0.000000000000000000e+00,2.021616220474243164e+00,1.395914938918454140e-01,1.100000000000000000e+01
-3.600000000000000000e+01,9.294917106628417969e+00,6.108180998024618225e-01,4.700000000000000000e+01
2.000000000000000000e+00,1.616991043090820312e+00,1.179801152540097958e-01,9.000000000000000000e+00
-1.500000000000000000e+02,3.010679697990417480e+01,1.808222592254707495e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.021205186843872070e+01,1.757129137603007596e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.021211385726928711e+01,1.822854338325801571e+00,1.500000000000000000e+02
-1.500000000000000000e+01,5.072581052780151367e+00,2.638598842619666596e-01,2.600000000000000000e+01
-1.500000000000000000e+02,3.022009205818176270e+01,1.949642676751710324e+00,1.500000000000000000e+02
-1.220000000000000000e+02,2.676044511795043945e+01,1.656486133708919617e+00,1.330000000000000000e+02
-9.000000000000000000e+00,3.854610204696655273e+00,1.891279201913608210e-01,2.000000000000000000e+01
-1.500000000000000000e+02,3.021471595764160156e+01,1.964870466821268202e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.021775293350219727e+01,2.200812548912723710e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.022117710113525391e+01,1.961959769593457192e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.021883487701416016e+01,1.641650990766114537e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.021394491195678711e+01,1.755140155033880767e+00,1.500000000000000000e+02
-8.300000000000000000e+01,1.885875701904296875e+01,1.114563028961983004e+00,9.400000000000000000e+01
-1.900000000000000000e+01,5.882139921188354492e+00,5.153595193160551702e-01,3.000000000000000000e+01
-3.500000000000000000e+01,9.126986980438232422e+00,6.153523383006980207e-01,4.600000000000000000e+01
-3.000000000000000000e+01,8.112742900848388672e+00,6.036006056237481765e-01,4.100000000000000000e+01
-6.100000000000000000e+01,1.439448595046997070e+01,1.100702549484311676e+00,7.200000000000000000e+01
-3.900000000000000000e+01,9.939805984497070312e+00,7.290887883793479851e-01,5.000000000000000000e+01
-4.200000000000000000e+01,1.054131412506103516e+01,8.735452495149844676e-01,5.300000000000000000e+01
-7.000000000000000000e+00,3.449018955230712891e+00,2.630841869723015147e-01,1.800000000000000000e+01
-1.700000000000000000e+01,5.475765943527221680e+00,4.247829772791285596e-01,2.800000000000000000e+01
-9.900000000000000000e+01,2.210228085517883301e+01,1.392501427420751448e+00,1.100000000000000000e+02
-1.700000000000000000e+01,5.477122068405151367e+00,3.319095588637704930e-01,2.800000000000000000e+01
-1.100000000000000000e+01,4.258450031280517578e+00,2.883229238591356602e-01,2.200000000000000000e+01
-8.000000000000000000e+00,3.649547100067138672e+00,2.702160279583749602e-01,1.900000000000000000e+01
-1.400000000000000000e+01,4.868731021881103516e+00,4.094615521480522435e-01,2.500000000000000000e+01
-1.700000000000000000e+01,5.476915121078491211e+00,3.205532634611411025e-01,2.800000000000000000e+01
-9.000000000000000000e+00,3.853971004486083984e+00,3.032699749623484209e-01,2.000000000000000000e+01
-4.000000000000000000e+01,1.013913512229919434e+01,5.150981772862955888e-01,5.100000000000000000e+01
-3.000000000000000000e+00,2.636380910873413086e+00,1.906760446586801272e-01,1.400000000000000000e+01
-1.400000000000000000e+01,4.866903066635131836e+00,2.761927261418311019e-01,2.500000000000000000e+01
-8.000000000000000000e+00,3.651502132415771484e+00,2.766617550539436921e-01,1.900000000000000000e+01
-2.500000000000000000e+01,7.096817016601562500e+00,3.576178933297913809e-01,3.600000000000000000e+01
-2.100000000000000000e+01,6.288336992263793945e+00,2.879719759320452654e-01,3.200000000000000000e+01
-2.000000000000000000e+01,6.088250160217285156e+00,3.190146632002856530e-01,3.100000000000000000e+01
-7.000000000000000000e+00,3.447974920272827148e+00,2.684710106082293657e-01,1.800000000000000000e+01
-3.000000000000000000e+00,2.639561891555786133e+00,1.361946608418720950e-01,1.400000000000000000e+01
-1.400000000000000000e+01,4.867498159408569336e+00,2.966823293624501479e-01,2.500000000000000000e+01
-1.200000000000000000e+01,4.461305141448974609e+00,2.890760381405098611e-01,2.300000000000000000e+01
-1.400000000000000000e+01,4.868513822555541992e+00,2.673097791694981629e-01,2.500000000000000000e+01
-2.200000000000000000e+01,6.491623878479003906e+00,3.522568846552053268e-01,3.300000000000000000e+01
-6.000000000000000000e+00,3.245358943939208984e+00,1.471962243840104767e-01,1.700000000000000000e+01
-1.600000000000000000e+01,5.273467063903808594e+00,3.516238908485838643e-01,2.700000000000000000e+01
-8.000000000000000000e+00,3.650700807571411133e+00,2.533115778101157622e-01,1.900000000000000000e+01
-3.200000000000000000e+01,8.517598152160644531e+00,5.190810604451912003e-01,4.300000000000000000e+01
-4.000000000000000000e+00,2.839473962783813477e+00,2.086839739149388140e-01,1.500000000000000000e+01
-1.700000000000000000e+01,5.475482940673828125e+00,1.950335157140083153e-01,2.800000000000000000e+01
-2.000000000000000000e+00,2.435989856719970703e+00,1.346252877796975389e-01,1.300000000000000000e+01
-5.000000000000000000e+00,3.044052839279174805e+00,1.703568359423275891e-01,1.600000000000000000e+01
-3.000000000000000000e+00,2.636470079421997070e+00,2.100985760717690165e-01,1.400000000000000000e+01
