human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-1.893997546962359890e-01,1.702746496540045451e-01,3.682936204121371315e-06,5.558779153239294552e-06,-1.924937812531913317e-01,1.702942746385950057e-01,-3.605397883759919875e-02,4.157335509912963157e-04,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.924937812531913317e-01,1.702942746385950057e-01,-3.605397883759919875e-02,4.157335509912963157e-04,-2.005438914938970918e-01,1.704083630404230054e-01,-3.916393111351279543e-02,4.635914572785471491e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.005438914938970918e-01,1.704083630404230054e-01,-3.916393111351279543e-02,4.635914572785471491e-03,-2.054579132497446892e-01,1.735483958242491354e-01,-4.105576724046805688e-03,2.565744606209351478e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.054579132497446892e-01,1.735483958242491354e-01,-4.105576724046805688e-03,2.565744606209351478e-02,-2.019037447830943910e-01,1.811380995375294900e-01,3.713927841801746565e-02,4.611291712474967219e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.019037447830943910e-01,1.811380995375294900e-01,3.713927841801746565e-02,4.611291712474967219e-02,-1.903898739889915426e-01,1.923917089200847252e-01,7.859955125302497958e-02,6.655965153667910139e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.903898739889915426e-01,1.923917089200847252e-01,7.859955125302497958e-02,6.655965153667910139e-02,-1.771342499621431643e-01,2.076929724841117819e-01,-8.897649743013132453e-03,8.718415778970386998e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.771342499621431643e-01,2.076929724841117819e-01,-8.897649743013132453e-03,8.718415778970386998e-02,-1.770571911809536714e-01,2.240619541195810471e-01,-8.740973744889687013e-04,7.033287375448203649e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.770571911809536714e-01,2.240619541195810471e-01,-8.740973744889687013e-04,7.033287375448203649e-02,-1.770521458767246592e-01,2.366322218285006884e-01,-3.832511988862330921e-04,5.075151598612170911e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.770521458767246592e-01,2.366322218285006884e-01,-3.832511988862330921e-04,5.075151598612170911e-02,-1.801801256950489871e-01,2.446450053246239653e-01,-3.494136049236651331e-02,2.982677270143480053e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.801801256950489871e-01,2.446450053246239653e-01,-3.494136049236651331e-02,2.982677270143480053e-02,-1.851312526012914850e-01,2.486377269392126554e-01,-3.856094924986752572e-03,1.172651616297624641e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.851312526012914850e-01,2.486377269392126554e-01,-3.856094924986752572e-03,1.172651616297624641e-02,-1.851503523487638136e-01,2.486657350667929589e-01,-6.679745216280421911e-05,-9.991376925380532348e-03,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.851503523487638136e-01,2.486657350667929589e-01,-6.679745216280421911e-05,-9.991376925380532348e-03,-1.851011989724840878e-01,2.447197241112080701e-01,-4.245111270075616690e-04,-1.972799547718931748e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.851011989724840878e-01,2.447197241112080701e-01,-4.245111270075616690e-04,-1.972799547718931748e-02,-1.882338863341768143e-01,2.429186362829837131e-01,-3.618252318081269236e-02,1.811801775283019243e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.882338863341768143e-01,2.429186362829837131e-01,-3.618252318081269236e-02,1.811801775283019243e-03,-1.962962005370562646e-01,2.450975764427841264e-01,-3.963023059670948284e-02,2.091326288453121060e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.962962005370562646e-01,2.450975764427841264e-01,-3.963023059670948284e-02,2.091326288453121060e-02,-2.011335136030433790e-01,2.513284272629536242e-01,-4.839932426548972273e-03,3.901410328504216485e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.011335136030433790e-01,2.513284272629536242e-01,-4.839932426548972273e-03,3.901410328504216485e-02,-2.038978136502233585e-01,2.573582991436860756e-01,-3.448131954774866920e-02,1.675187265410554502e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.038978136502233585e-01,2.573582991436860756e-01,-3.448131954774866920e-02,1.675187265410554502e-02,-2.147547031268873252e-01,2.589276937039837190e-01,-7.472297853203528628e-02,-1.012005617823218432e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.147547031268873252e-01,2.589276937039837190e-01,-7.472297853203528628e-02,-1.012005617823218432e-03,-2.273732718852632673e-01,2.564631176947423374e-01,-4.256453638383936311e-02,-2.227765161405324823e-02,-2.000000000000000042e-02,2.000000000000000111e-01
