expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001151084899902344e+01,2.845601649083089324e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001385998725891113e+01,2.446294524764275558e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000877189636230469e+01,2.411817564501712141e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001187396049499512e+01,2.256895754235461737e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001163411140441895e+01,2.484856057314128730e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001133990287780762e+01,2.378481728200414480e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001982188224792480e+01,2.315169568269935141e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001332187652587891e+01,2.335256880075820440e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001658701896667480e+01,2.841284727818632394e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001199007034301758e+01,2.202902012681456245e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.800000000000000000e+01,1.172557997703552246e+01,5.678676905004236275e-01,5.900000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.649970054626464844e+00,2.513720486077147820e-01,2.400000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.256897926330566406e+00,2.510118484799637173e-01,2.700000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,8.894140958786010742e+00,4.384046134185873855e-01,4.500000000000000000e+01
0.000000000000000000e+00,-6.100000000000000000e+01,1.435378599166870117e+01,7.374078726472292900e-01,7.200000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.640594005584716797e+00,2.261349537648283392e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.246191978454589844e+00,2.337798999478224449e-01,2.200000000000000000e+01
