human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-1.854291281900627419e-01,3.178457573105600287e-01,-2.959868018698850350e-04,-5.305174336258686868e-02,-1.883297893256069000e-01,3.051477979446577948e-01,-3.253755138913994732e-02,-7.286175886986617778e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.883297893256069000e-01,3.051477979446577948e-01,-3.253755138913994732e-02,-7.286175886986617778e-02,-1.990518375237315118e-01,2.884517356354050488e-01,-7.234805488820968133e-02,-9.412748194999774609e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.990518375237315118e-01,2.884517356354050488e-01,-7.234805488820968133e-02,-9.412748194999774609e-02,-2.117206362762529825e-01,2.677754842175844585e-01,-4.520296711172619442e-02,-1.130024755921732738e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.117206362762529825e-01,2.677754842175844585e-01,-4.520296711172619442e-02,-1.130024755921732738e-01,-2.166080222578078973e-01,2.462468752352134638e-01,-2.960615531990251972e-03,-9.258638492226811678e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.166080222578078973e-01,2.462468752352134638e-01,-2.960615531990251972e-03,-9.258638492226811678e-02,-2.131970022469655279e-01,2.297037222919294797e-01,3.691416062746446375e-02,-7.315574584234620092e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.131970022469655279e-01,2.297037222919294797e-01,3.691416062746446375e-02,-7.315574584234620092e-02,-2.078346940124229381e-01,2.171748910004610567e-01,8.458863618145606375e-03,-5.222835754595134966e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.078346940124229381e-01,2.171748910004610567e-01,8.458863618145606375e-03,-5.222835754595134966e-02,-2.044475108396086593e-01,2.085972854442854629e-01,3.620941590666904714e-02,-3.385394000071662718e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.044475108396086593e-01,2.085972854442854629e-01,3.620941590666904714e-02,-3.385394000071662718e-02,-1.961164487633924036e-01,2.039616195177012536e-01,4.216195387910194603e-02,-1.413136851930486999e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.961164487633924036e-01,2.039616195177012536e-01,4.216195387910194603e-02,-1.413136851930486999e-02,-1.877811337852818840e-01,2.033290819523005943e-01,4.081356889969499357e-02,6.767808113273275465e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.877811337852818840e-01,2.033290819523005943e-01,4.081356889969499357e-02,6.767808113273275465e-03,-1.791525247450028169e-01,2.069136052607061793e-01,3.860276962088782238e-02,2.925516125638355849e-02,2.000000000000000042e-02,0.000000000000000000e+00
