expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.000958609580993652e+01,1.949390894904089233e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001087093353271484e+01,1.760082561945675250e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000790691375732422e+01,1.917423898539419858e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001796984672546387e+01,1.835311966860728061e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001136112213134766e+01,1.888784434635828235e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001319098472595215e+01,1.966475642943139590e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.300000000000000000e+01,6.649544954299926758e+00,3.815375209126756761e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001189088821411133e+01,1.936450529168204815e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000765514373779297e+01,1.994034002416553264e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.230000000000000000e+02,2.678638315200805664e+01,1.795739312026648049e+00,1.340000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011901593208312988e+01,9.694738433473143457e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012180089950561523e+01,1.580672263233696695e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011767506599426270e+01,8.891653714884895088e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011574292182922363e+01,1.164362451957018818e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011505198478698730e+01,1.136578972734932469e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011321091651916504e+01,1.079375206035504853e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012067699432373047e+01,1.358973803651023271e+00,1.500000000000000000e+02
0.000000000000000000e+00,-5.100000000000000000e+01,1.233568811416625977e+01,8.480409888662030493e-01,6.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011980485916137695e+01,9.596335594975201611e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012100601196289062e+01,1.041824665284983409e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.300000000000000000e+01,1.475791597366333008e+01,6.538816711203978560e-01,7.400000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.628715038299560547e+00,1.176441922190146899e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011940693855285645e+01,2.536133566214169743e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011844992637634277e+01,1.306889298069670025e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011794090270996094e+01,1.763426114234122100e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.500000000000000000e+01,7.077486038208007812e+00,3.737211994335525866e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011615300178527832e+01,1.456196140624786528e+00,1.500000000000000000e+02
