human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,1.000000000000000000e+00,-1.836589959850455089e-01,1.799975673093697770e-01,-2.022741477151970976e-04,2.614682997710175705e-02,-1.836244850326643197e-01,1.829511783256069224e-01,3.836636285607359742e-04,4.668102354439086082e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.836244850326643197e-01,1.829511783256069224e-01,3.836636285607359742e-04,4.668102354439086082e-03,-1.866469857615035144e-01,1.818453311618344614e-01,-3.319639224412627987e-02,-1.617561103270302378e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.866469857615035144e-01,1.818453311618344614e-01,-3.319639224412627987e-02,-1.617561103270302378e-02,-1.922916718552536985e-01,1.773213570522245430e-01,-6.420865735942898195e-03,-1.789261502020870684e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.922916718552536985e-01,1.773213570522245430e-01,-6.420865735942898195e-03,-1.789261502020870684e-02,-1.894718018177086183e-01,1.759476560749222984e-01,3.407413868530988210e-02,3.264899641091448517e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.894718018177086183e-01,1.759476560749222984e-01,3.407413868530988210e-02,3.264899641091448517e-03,-1.817893678597844453e-01,1.786488081598899269e-01,3.713638704904304727e-02,2.311245983679157540e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.817893678597844453e-01,1.786488081598899269e-01,3.713638704904304727e-02,2.311245983679157540e-02,-1.739833282996691988e-01,1.834782519029932446e-01,4.133160891596908415e-02,1.466073501557959430e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.739833282996691988e-01,1.834782519029932446e-01,4.133160891596908415e-02,1.466073501557959430e-02,-1.766990722305441519e-01,1.847163225480591420e-01,-3.372792578955000758e-02,-4.262003221717250781e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.766990722305441519e-01,1.847163225480591420e-01,-3.372792578955000758e-02,-4.262003221717250781e-03,-1.853252688602955445e-01,1.815829195963843401e-01,-3.976295050520047697e-02,-2.618059968877265928e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.853252688602955445e-01,1.815829195963843401e-01,-3.976295050520047697e-02,-2.618059968877265928e-02,-1.905378127543487510e-01,1.750488151454705210e-01,-4.811250177299548729e-03,-3.105928379792951763e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.905378127543487510e-01,1.750488151454705210e-01,-4.811250177299548729e-03,-3.105928379792951763e-02,-1.939708257024358729e-01,1.709667448659422384e-01,-3.825194531278390542e-02,-1.115455741718225473e-02,2.000000000000000042e-02,-2.000000000000000111e-01
