expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-9.600000000000000000e+01,2.134924316406250000e+01,1.571616232870726160e+00,1.070000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001153898239135742e+01,1.683372725338081022e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001334309577941895e+01,1.699032690541842694e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.360000000000000000e+02,2.940677189826965332e+01,2.205690911003300947e+00,1.470000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001448917388916016e+01,1.982838730027119745e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001462411880493164e+01,1.895185546987626424e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.600000000000000000e+01,9.267477989196777344e+00,5.367302032586338534e-01,4.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001244688034057617e+01,2.237640048117699898e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001137804985046387e+01,2.290951122416003294e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001099514961242676e+01,1.842654709918399192e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012315607070922852e+01,9.811132182070223529e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012072587013244629e+01,1.010392404696720980e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011902403831481934e+01,1.200456452099819105e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011719608306884766e+01,1.008613140488914928e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011760592460632324e+01,1.054427547524518838e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012021183967590332e+01,1.263826331508829171e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012269496917724609e+01,1.305474027221072308e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012153887748718262e+01,8.012384529408137501e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012049317359924316e+01,1.462235270659193898e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012085700035095215e+01,1.159300758192840286e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012224888801574707e+01,1.250967480479304506e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012139105796813965e+01,8.999163582352326385e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012049698829650879e+01,1.030958628576936320e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011837720870971680e+01,8.424451801830523667e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011986899375915527e+01,1.110416491193705779e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012099695205688477e+01,1.423827280878583013e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011960005760192871e+01,7.399733140986193280e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012057995796203613e+01,1.081942741759551962e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012301898002624512e+01,1.236646113340652553e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012359595298767090e+01,1.184913530043242513e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012473487854003906e+01,8.033868249652034166e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012129497528076172e+01,7.054563073686330732e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011898684501647949e+01,7.258927973225183239e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011689591407775879e+01,6.383317631300571282e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012045907974243164e+01,1.013787927422833413e+00,1.500000000000000000e+02
