human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-1.851038228763972615e-01,2.933910408766703948e-01,4.821837225468923412e-04,-8.763808099375096361e-02,-1.850727680939546482e-01,2.770369317281544119e-01,-3.591337299539018807e-04,-7.197028209982964109e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.850727680939546482e-01,2.770369317281544119e-01,-3.591337299539018807e-04,-7.197028209982964109e-02,-1.850638532306055628e-01,2.646973744723557509e-01,1.610710013081988190e-03,-5.246294104376371392e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.850638532306055628e-01,2.646973744723557509e-01,1.610710013081988190e-03,-5.246294104376371392e-02,-1.883882381061613709e-01,2.561115061755550593e-01,-3.580581400135199321e-02,-3.122614651668587094e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.883882381061613709e-01,2.561115061755550593e-01,-3.580581400135199321e-02,-3.122614651668587094e-02,-1.998229538501677949e-01,2.518690446326760091e-01,-7.638622104420053627e-02,-1.315668297529953845e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.998229538501677949e-01,2.518690446326760091e-01,-7.638622104420053627e-02,-1.315668297529953845e-02,-2.162231326265676712e-01,2.514982436822955636e-01,-8.210100418309938808e-02,7.850851003566148081e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.162231326265676712e-01,2.514982436822955636e-01,-8.210100418309938808e-02,7.850851003566148081e-03,-2.356605111572475653e-01,2.550364258085536240e-01,-1.182711852512875472e-01,2.927921074936829654e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.356605111572475653e-01,2.550364258085536240e-01,-1.182711852512875472e-01,2.927921074936829654e-02,-2.631010585058485285e-01,2.620364662211522866e-01,-1.572161009940465370e-01,3.442247557342022202e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.631010585058485285e-01,2.620364662211522866e-01,-1.572161009940465370e-01,3.442247557342022202e-02,-2.922753495960641601e-01,2.665294628000153820e-01,-1.255051053687173679e-01,1.266804138380133934e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.922753495960641601e-01,2.665294628000153820e-01,-1.255051053687173679e-01,1.266804138380133934e-02,-3.203518297507237378e-01,2.669893971291952828e-01,-1.545684261250833136e-01,-9.163669781531325054e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.203518297507237378e-01,2.669893971291952828e-01,-1.545684261250833136e-01,-9.163669781531325054e-03,-3.553652955173463579e-01,2.632005551438865720e-01,-1.942566300141690128e-01,-3.025408566161714649e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
