expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001207208633422852e+01,1.642184301536275814e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001541495323181152e+01,1.855159709688331660e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.100000000000000000e+01,6.246628999710083008e+00,3.794142683959108586e-01,3.200000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.056889057159423828e+00,4.850393950727637238e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001279497146606445e+01,1.910624551074274535e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001479601860046387e+01,2.162041481653361963e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001647496223449707e+01,1.895282336830514947e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.000893688201904297e+01,1.639879968705809432e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001190495491027832e+01,1.974102765615752819e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001091194152832031e+01,1.646275973560613171e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011971402168273926e+01,8.566067573457727402e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011986804008483887e+01,5.900357717237455502e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012145113945007324e+01,7.204702838121753716e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011998200416564941e+01,8.692285854229381270e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011615705490112305e+01,7.374519046837740843e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011951613426208496e+01,6.953413328233807311e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011969113349914551e+01,7.241617149800928521e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012054610252380371e+01,5.322593226813971956e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011988592147827148e+01,7.412087493554004869e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011551809310913086e+01,1.189963407318143984e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012332606315612793e+01,1.470951895561303679e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012167096138000488e+01,1.507085482906799667e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012642192840576172e+01,1.244368632275928199e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012167692184448242e+01,1.022925203576344311e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012088704109191895e+01,1.186837998662037208e+00,1.500000000000000000e+02
