human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-1.844084568576502547e-01,1.804872003542202230e-01,-1.783637334117445543e-03,4.115880590400807643e-02,-1.872795461197215849e-01,1.912844291423324850e-01,-3.389028581050927691e-02,6.236747446502297065e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.872795461197215849e-01,1.912844291423324850e-01,-3.389028581050927691e-02,6.236747446502297065e-02,-1.979941072785763589e-01,2.057620338232444002e-01,-7.314260505344041818e-02,8.297865826329051120e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.979941072785763589e-01,2.057620338232444002e-01,-7.314260505344041818e-02,8.297865826329051120e-02,-2.109105946543737842e-01,2.213733436542255351e-01,-4.474887147587353065e-02,6.850739683802115065e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.109105946543737842e-01,2.213733436542255351e-01,-4.474887147587353065e-02,6.850739683802115065e-02,-2.218334844654863414e-01,2.329208495119513556e-01,-7.356261031537289496e-02,4.758565988009256370e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.218334844654863414e-01,2.329208495119513556e-01,-7.356261031537289496e-02,4.758565988009256370e-02,-2.347790128749224769e-01,2.404689713369325688e-01,-4.653517783978659839e-02,2.762940872183667837e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.347790128749224769e-01,2.404689713369325688e-01,-4.653517783978659839e-02,2.762940872183667837e-02,-2.399871873784419907e-01,2.439699418330117942e-01,-7.963666300523466676e-03,9.827089059331143087e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.399871873784419907e-01,2.439699418330117942e-01,-7.963666300523466676e-03,9.827089059331143087e-03,-2.426774401061251862e-01,2.485677886732081676e-01,-3.190744679413662355e-02,3.284087759321532157e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.426774401061251862e-01,2.485677886732081676e-01,-3.190744679413662355e-02,3.284087759321532157e-02,-2.531442394899864334e-01,2.570167060413502957e-01,-7.127527315416594400e-02,5.126082707722488113e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.531442394899864334e-01,2.570167060413502957e-01,-7.127527315416594400e-02,5.126082707722488113e-02,-2.657457477488064379e-01,2.670627611195579010e-01,-4.228212343980704974e-02,4.033787130971158014e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.657457477488064379e-01,2.670627611195579010e-01,-4.228212343980704974e-02,4.033787130971158014e-02,-2.735082032239590788e-01,2.733095618474012389e-01,-4.017471030001914384e-02,2.008480218198018669e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.735082032239590788e-01,2.733095618474012389e-01,-4.017471030001914384e-02,2.008480218198018669e-02,-2.781877652960773051e-01,2.756036360574892208e-01,-4.400515886589122239e-03,2.560832270131962671e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.781877652960773051e-01,2.756036360574892208e-01,-4.400515886589122239e-03,2.560832270131962671e-03,-2.808832413972420228e-01,2.737527119106096252e-01,-3.241782680160450875e-02,-1.874602439366001086e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.808832413972420228e-01,2.737527119106096252e-01,-3.241782680160450875e-02,-1.874602439366001086e-02,-2.891067534533736660e-01,2.676928507441312943e-01,-4.234638879214376594e-02,-3.860497110573906515e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.891067534533736660e-01,2.676928507441312943e-01,-4.234638879214376594e-02,-3.860497110573906515e-02,-3.000158291786986231e-01,2.577185184759020475e-01,-7.496146077611347269e-02,-5.947018260616432350e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.000158291786986231e-01,2.577185184759020475e-01,-7.496146077611347269e-02,-5.947018260616432350e-02,-3.158566759667966739e-01,2.456064482614599420e-01,-7.951088611922227378e-02,-5.215184402662775137e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.158566759667966739e-01,2.456064482614599420e-01,-7.951088611922227378e-02,-5.215184402662775137e-02,-3.318364617801867200e-01,2.372054758153176179e-01,-7.872102833921078291e-02,-3.318868604581313303e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.318364617801867200e-01,2.372054758153176179e-01,-7.872102833921078291e-02,-3.318868604581313303e-02,-3.448464920826112556e-01,2.328168990353692847e-01,-4.588452352849327343e-02,-1.270685337769219408e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.448464920826112556e-01,2.328168990353692847e-01,-4.588452352849327343e-02,-1.270685337769219408e-02,-3.558751444971799960e-01,2.324847137955178000e-01,-7.252811039276475802e-02,7.787488922456511746e-03,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.558751444971799960e-01,2.324847137955178000e-01,-7.252811039276475802e-02,7.787488922456511746e-03,-3.545356538882843411e-01,2.363849482633262888e-01,3.370216794283546757e-02,2.888424781923467147e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.545356538882843411e-01,2.363849482633262888e-01,3.370216794283546757e-02,2.888424781923467147e-02,-3.465411835689035658e-01,2.442587977796981114e-01,3.917095039919205046e-02,5.120410538323507538e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.465411835689035658e-01,2.442587977796981114e-01,3.917095039919205046e-02,5.120410538323507538e-02,-3.384553817536483100e-01,2.560504288279988883e-01,4.089033916711454220e-02,6.875025176126584037e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.384553817536483100e-01,2.560504288279988883e-01,4.089033916711454220e-02,6.875025176126584037e-02,-3.333672091138205618e-01,2.694682693757711189e-01,6.464507910852892655e-03,5.806914030180784780e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.333672091138205618e-01,2.694682693757711189e-01,6.464507910852892655e-03,5.806914030180784780e-02,-3.362153234475179775e-01,2.790209399390308209e-01,-3.649506761263369981e-02,4.029397107770148895e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.362153234475179775e-01,2.790209399390308209e-01,-3.649506761263369981e-02,4.029397107770148895e-02,-3.411394877904713185e-01,2.845969798746372792e-01,-7.001176872399198468e-03,1.911430028474734102e-02,-2.000000000000000042e-02,2.000000000000000111e-01
