expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001342201232910156e+01,1.849836204216969815e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001213192939758301e+01,2.017125013431864122e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001277399063110352e+01,1.967756215548033705e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001580905914306641e+01,1.929027716449984053e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.600000000000000000e+01,7.254179000854492188e+00,2.728698452556542198e-01,3.700000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.230782985687255859e+00,1.845522047435056989e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001327204704284668e+01,1.853699846521421390e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001183104515075684e+01,1.703559379884130420e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001111984252929688e+01,1.937282171365219741e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001282691955566406e+01,1.736405395304953858e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.200000000000000000e+01,2.061902689933776855e+01,6.834471865700041393e-01,1.030000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012180304527282715e+01,1.104187884769812555e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011991691589355469e+01,1.147905281692582991e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012093281745910645e+01,1.415482029275486830e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012239813804626465e+01,1.238949364825402411e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012343502044677734e+01,9.853157925043639631e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011989092826843262e+01,8.789788071258970437e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011752891540527344e+01,1.167283988948551343e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011982202529907227e+01,9.229699152758817915e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.300000000000000000e+01,4.650038003921508789e+00,2.503575551239614616e-01,2.400000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.064932107925415039e+00,2.482521845847915909e-01,3.100000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.236176013946533203e+00,1.184897065087308077e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224607944488525391e+00,1.092847908100334497e-01,1.200000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.830126047134399414e+00,1.091656598080805590e-01,1.500000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.234661817550659180e+00,1.524427172824981969e-01,1.700000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.618330955505371094e+00,1.119912133388239334e-01,9.000000000000000000e+00
0.000000000000000000e+00,-7.000000000000000000e+00,3.436702013015747070e+00,1.223529608506669780e-01,1.800000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224363088607788086e+00,1.102882419965604960e-01,1.200000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.831620931625366211e+00,1.092329921243219981e-01,1.500000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.629492044448852539e+00,1.108908868215693205e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.460702896118164062e+00,2.549471727796409071e-01,2.800000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.235870122909545898e+00,1.456933994634862228e-01,1.700000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820150852203369141e+00,1.235377133110152764e-01,1.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820558071136474609e+00,1.048476889034662130e-01,1.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.427570104598999023e+00,1.166429197271698498e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224349975585937500e+00,1.119425213238192385e-01,1.200000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.841095924377441406e+00,1.961553780646198009e-01,2.000000000000000000e+01
0.000000000000000000e+00,-3.700000000000000000e+01,9.500616073608398438e+00,3.097287312667898473e-01,4.800000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.021702051162719727e+00,1.048104264328197505e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.054673910140991211e+00,1.902496066795647256e-01,2.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.042875051498413086e+00,1.570644654429506903e-01,2.100000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224709033966064453e+00,9.990896038050914307e-02,1.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,1.214621067047119141e+00,9.163915461713513511e-02,7.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.022966146469116211e+00,1.122578179030117862e-01,1.100000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.831997871398925781e+00,1.022532310436519848e-01,1.500000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820677995681762695e+00,1.144165957840196646e-01,1.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.618314027786254883e+00,1.134083162819731344e-01,9.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,2.223492860794067383e+00,1.132972412662372752e-01,1.200000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.830190181732177734e+00,1.268907417561299933e-01,1.500000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.022284984588623047e+00,1.063380090447173798e-01,1.100000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.022487878799438477e+00,9.738955092646903178e-02,1.100000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.021924018859863281e+00,9.453029844509369672e-02,1.100000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224737882614135742e+00,1.047968308240804364e-01,1.200000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820213079452514648e+00,8.734500675715685392e-02,1.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820561170578002930e+00,1.194291103513857311e-01,1.000000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.235044956207275391e+00,1.382395744851535047e-01,1.700000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.820488214492797852e+00,9.442391581272847889e-02,1.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.427059888839721680e+00,8.980729883433738459e-02,1.300000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224873781204223633e+00,9.947734462520881060e-02,1.200000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.619001150131225586e+00,1.124704188990543891e-01,9.000000000000000000e+00
0.000000000000000000e+00,-1.400000000000000000e+01,4.853018045425415039e+00,2.806634034524844168e-01,2.500000000000000000e+01
0.000000000000000000e+00,3.000000000000000000e+00,1.415987968444824219e+00,8.461752119297771824e-02,8.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.415541887283325195e+00,1.176599957072128888e-01,8.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.416289091110229492e+00,1.153079966553500341e-01,8.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000000e+00,3.032278060913085938e+00,1.172338535831436018e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.649124860763549805e+00,2.080293326854742164e-01,2.400000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.831085920333862305e+00,1.560668060075570962e-01,1.500000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.011457204818725586e+00,8.687821869830474053e-02,6.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,2.224352836608886719e+00,1.073846992389933530e-01,1.200000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.022143840789794922e+00,1.320089056634225211e-01,1.100000000000000000e+01
