human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,-1.836631005388427440e-01,1.789696453603712434e-01,1.018219456137209279e-03,3.655817069165068905e-02,-1.865443336255641071e-01,1.880988162278423581e-01,-3.387046858694837959e-02,4.496843875321655110e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.865443336255641071e-01,1.880988162278423581e-01,-3.387046858694837959e-02,4.496843875321655110e-02,-1.973929249814979636e-01,1.949767892280064030e-01,-7.538800061492473281e-02,2.515674893320686556e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.973929249814979636e-01,1.949767892280064030e-01,-7.538800061492473281e-02,2.515674893320686556e-02,-2.113113518195559870e-01,1.978424509289021249e-01,-4.720890798574490371e-02,2.873715007678329103e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.113113518195559870e-01,1.978424509289021249e-01,-4.720890798574490371e-02,2.873715007678329103e-03,-2.197608696839573050e-01,1.994935073988568230e-01,-3.975545778398519026e-02,1.720315921681814589e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.197608696839573050e-01,1.994935073988568230e-01,-3.975545778398519026e-02,1.720315921681814589e-02,-2.250591832678450754e-01,2.051090552795558075e-01,-7.400159998961213133e-03,3.736215714598216386e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.250591832678450754e-01,2.051090552795558075e-01,-7.400159998961213133e-03,3.736215714598216386e-02,-2.253699565860886600e-01,2.147269231354310137e-01,1.021456179546598305e-03,5.779827827419076886e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.253699565860886600e-01,2.147269231354310137e-01,1.021456179546598305e-03,5.779827827419076886e-02,-2.226019528167570427e-01,2.283067677527477191e-01,3.275952106196988733e-02,7.416404388945795068e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.226019528167570427e-01,2.283067677527477191e-01,3.275952106196988733e-02,7.416404388945795068e-02,-2.179100886938656889e-01,2.407953542599992336e-01,4.005271188158149136e-03,5.378416199107916712e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.179100886938656889e-01,2.407953542599992336e-01,4.005271188158149136e-03,5.378416199107916712e-02,-2.183750175661112736e-01,2.495133483905319638e-01,-1.281743687423631374e-03,3.038189801692527808e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.183750175661112736e-01,2.495133483905319638e-01,-1.281743687423631374e-03,3.038189801692527808e-02,-2.190293128325989658e-01,2.538389625628003632e-01,-3.108648328011462056e-03,1.159141305504206819e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.190293128325989658e-01,2.538389625628003632e-01,-3.108648328011462056e-03,1.159141305504206819e-02,-2.167329341042631974e-01,2.541541724720458584e-01,3.060626100340925471e-02,-8.442143004631584222e-03,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.167329341042631974e-01,2.541541724720458584e-01,3.060626100340925471e-02,-8.442143004631584222e-03,-2.123447472285163729e-01,2.504997732753003747e-01,2.368967038647523584e-03,-2.376379518615318737e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.123447472285163729e-01,2.504997732753003747e-01,2.368967038647523584e-03,-2.376379518615318737e-02,-2.099554733396145068e-01,2.476054185756603188e-01,2.988885346447046898e-02,-5.164940343399631456e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.099554733396145068e-01,2.476054185756603188e-01,2.988885346447046898e-02,-5.164940343399631456e-03,-1.991013290755996312e-01,2.488346087523594097e-01,7.063652428814158613e-02,1.626465813335633767e-02,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.991013290755996312e-01,2.488346087523594097e-01,7.063652428814158613e-02,1.626465813335633767e-02,-1.834941167604326184e-01,2.540577133886556260e-01,7.515275012429276091e-02,3.878737903055224506e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.834941167604326184e-01,2.540577133886556260e-01,7.515275012429276091e-02,3.878737903055224506e-02,-1.720173950527959517e-01,2.593962982591764832e-01,-5.537677882626209497e-03,1.576266975664673484e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.720173950527959517e-01,2.593962982591764832e-01,-5.537677882626209497e-03,1.576266975664673484e-02,-1.721447746370212695e-01,2.608029803154093273e-01,-3.954144124752191798e-03,-7.108109920469695732e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.721447746370212695e-01,2.608029803154093273e-01,-3.954144124752191798e-03,-7.108109920469695732e-03,-1.721293034610201222e-01,2.582789247952296252e-01,-6.183535498260580351e-04,-2.216064405322709305e-02,-2.000000000000000042e-02,2.000000000000000111e-01
