expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001606893539428711e+01,2.173603373843631115e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.110000000000000000e+02,2.437463688850402832e+01,1.730946563080481004e+00,1.220000000000000000e+02
0.000000000000000000e+00,-1.280000000000000000e+02,2.779566001892089844e+01,2.073089158073724292e+00,1.390000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001296210289001465e+01,2.141776598446283764e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.000000000000000000e+00,2.820946216583251953e+00,1.428810192603299223e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001670694351196289e+01,1.625499644735813431e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001615905761718750e+01,1.925751161098415487e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001177191734313965e+01,2.028639606567183673e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001387190818786621e+01,1.883723763946397289e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001199316978454590e+01,2.257340317231276039e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012389397621154785e+01,8.308853595970570050e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011982202529907227e+01,8.747316854041490286e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011919188499450684e+01,1.250603517692546518e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012485408782958984e+01,8.041132472563689015e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012419676780700684e+01,9.166791142723803576e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012489318847656250e+01,9.490297527929794086e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012210488319396973e+01,8.980041982891350250e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011800789833068848e+01,9.364557673083181433e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012173891067504883e+01,1.463205491372614908e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012252497673034668e+01,1.023488936386445003e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.100000000000000000e+01,4.247381925582885742e+00,1.759627055264808004e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012381601333618164e+01,1.060164825070836647e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012089300155639648e+01,8.826769617952284763e-01,1.500000000000000000e+02
0.000000000000000000e+00,-5.000000000000000000e+00,3.032861948013305664e+00,1.444559334530786943e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012395119667053223e+01,8.033150416578727082e-01,1.500000000000000000e+02
0.000000000000000000e+00,-7.000000000000000000e+00,3.437902927398681641e+00,1.523586006390671432e-01,1.800000000000000000e+01
0.000000000000000000e+00,-6.300000000000000000e+01,1.475866007804870605e+01,5.471448143545191156e-01,7.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012014007568359375e+01,6.360886790578196281e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012196588516235352e+01,1.167967377828959874e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.051454401016235352e+01,4.416783053812726179e-01,5.300000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.022221803665161133e+00,1.156925871266284434e-01,1.100000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.031941175460815430e+00,1.335016607962058732e-01,1.600000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.022864103317260742e+00,1.151252649032886294e-01,1.100000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.087989091873168945e+00,3.401764045368299016e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.661332845687866211e+00,1.881874484032384220e-01,2.900000000000000000e+01
0.000000000000000000e+00,-2.100000000000000000e+01,6.269052028656005859e+00,2.256123078388045378e-01,3.200000000000000000e+01
0.000000000000000000e+00,-5.300000000000000000e+01,1.273638582229614258e+01,7.957770613842004570e-01,6.400000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.683644056320190430e+00,4.061328149878215554e-01,3.900000000000000000e+01
0.000000000000000000e+00,-2.400000000000000000e+01,6.873293876647949219e+00,3.539231878675030418e-01,3.500000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.447783946990966797e+00,1.876483929216592184e-01,2.300000000000000000e+01
0.000000000000000000e+00,-2.300000000000000000e+01,6.672877073287963867e+00,3.337988817689319654e-01,3.400000000000000000e+01
0.000000000000000000e+00,-2.100000000000000000e+01,6.269139051437377930e+00,3.106191581227385479e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.462855815887451172e+00,2.658014052225202151e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.245172023773193359e+00,2.410254695474577658e-01,2.200000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.638967037200927734e+00,1.742864605264917988e-01,1.900000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.426582098007202148e+00,1.279233681162505742e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.226036071777343750e+00,1.201612508376806165e-01,1.200000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.457406997680664062e+00,2.651781959758756635e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011873912811279297e+01,1.096111899924735900e+00,1.500000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+00,1.619808912277221680e+00,1.152088837079338762e-01,9.000000000000000000e+00
0.000000000000000000e+00,-3.200000000000000000e+01,8.491744995117187500e+00,3.013840720971973641e-01,4.300000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.830877065658569336e+00,1.201329141901908704e-01,1.500000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.639423131942749023e+00,2.292427784545184588e-01,1.900000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.842344999313354492e+00,2.360712518753250444e-01,2.000000000000000000e+01
