human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,0.000000000000000000e+00,-3.460189650301106479e-01,3.324788288964695138e-01,2.192168831680746388e-04,-5.274624956196014187e-03,-3.459321658740880934e-01,3.296250593716906208e-01,1.074677241820730694e-05,-2.427975466238566776e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.459321658740880934e-01,3.296250593716906208e-01,1.074677241820730694e-05,-2.427975466238566776e-02,-3.427395434292129783e-01,3.226646270618903634e-01,3.515222083251914875e-02,-4.411337672255918191e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.427395434292129783e-01,3.226646270618903634e-01,3.515222083251914875e-02,-4.411337672255918191e-02,-3.346403364759963361e-01,3.117631839281125861e-01,3.924253863110484936e-02,-6.468175370195668183e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.346403364759963361e-01,3.117631839281125861e-01,3.924253863110484936e-02,-6.468175370195668183e-02,-3.233502321657433787e-01,3.002381248516367007e-01,7.776727137142951107e-02,-4.512407329429964087e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.233502321657433787e-01,3.002381248516367007e-01,7.776727137142951107e-02,-4.512407329429964087e-02,-3.073419930823496071e-01,2.928183038067083133e-01,8.045265349583498315e-02,-2.742130352855058628e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-3.073419930823496071e-01,2.928183038067083133e-01,8.045265349583498315e-02,-2.742130352855058628e-02,-2.881978156655762291e-01,2.893182668404949420e-01,1.160196618914026423e-01,-8.719811342868026560e-03,2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.881978156655762291e-01,2.893182668404949420e-01,1.160196618914026423e-01,-8.719811342868026560e-03,-2.659774101762933385e-01,2.885531098065587940e-01,8.647968016654419832e-02,-9.708187869628839492e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.659774101762933385e-01,2.885531098065587940e-01,8.647968016654419832e-02,-9.708187869628839492e-03,-2.527832208369884537e-01,2.844429116410968073e-01,4.531517757304884958e-02,-3.116052439188801010e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.527832208369884537e-01,2.844429116410968073e-01,4.531517757304884958e-02,-3.116052439188801010e-02,-2.445183026956385952e-01,2.762996761522210631e-01,4.111640512726490171e-02,-4.994881245522576202e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.445183026956385952e-01,2.762996761522210631e-01,4.111640512726490171e-02,-4.994881245522576202e-02,-2.392375730498962350e-01,2.641277529129824053e-01,6.202060881111405750e-03,-7.039800027328808885e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.392375730498962350e-01,2.641277529129824053e-01,6.202060881111405750e-03,-7.039800027328808885e-02,-2.388863114925210418e-01,2.480029356143762798e-01,2.493231155061913229e-03,-9.119342716988464159e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.388863114925210418e-01,2.480029356143762798e-01,2.493231155061913229e-03,-9.119342716988464159e-02,-2.384529905529229887e-01,2.297569731147627026e-01,1.597993560474548743e-03,-8.410003612900167347e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.384529905529229887e-01,2.297569731147627026e-01,1.597993560474548743e-03,-8.410003612900167347e-02,-2.412026604195356694e-01,2.146842626101013451e-01,-3.278929600141015921e-02,-6.266730123688415977e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.412026604195356694e-01,2.146842626101013451e-01,-3.278929600141015921e-02,-6.266730123688415977e-02,-2.488734273056542046e-01,2.042065634532310159e-01,-3.921350441279886773e-02,-4.190575493907932464e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.488734273056542046e-01,2.042065634532310159e-01,-3.921350441279886773e-02,-4.190575493907932464e-02,-2.597097184326553343e-01,1.977530206458477102e-01,-7.452677130745374856e-02,-2.251881283242347306e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.597097184326553343e-01,1.977530206458477102e-01,-7.452677130745374856e-02,-2.251881283242347306e-02,-2.754298754839971664e-01,1.952999897341388125e-01,-7.764210205665367237e-02,-3.753075213933999670e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.754298754839971664e-01,1.952999897341388125e-01,-7.764210205665367237e-02,-3.753075213933999670e-03,-2.879942944830677920e-01,1.968640531808469318e-01,-4.339980190150979911e-02,1.687138534624862615e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.879942944830677920e-01,1.968640531808469318e-01,-4.339980190150979911e-02,1.687138534624862615e-02,-2.956128366568557819e-01,2.024763706234642135e-01,-3.871215583691660356e-02,3.810353613581336785e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.956128366568557819e-01,2.024763706234642135e-01,-3.871215583691660356e-02,3.810353613581336785e-02,-3.004376048670274191e-01,2.125340817334992749e-01,-2.418252695958493168e-03,5.765381036257664210e-02,2.000000000000000042e-02,2.000000000000000111e-01
