expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001318621635437012e+01,2.011104026521504107e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001069712638854980e+01,1.922448933800043891e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001438093185424805e+01,1.902051890994745476e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001243209838867188e+01,1.562924447744378442e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.400000000000000000e+01,2.094763088226318359e+01,1.392699880865274631e+00,1.050000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001418900489807129e+01,2.082124966062148808e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.220000000000000000e+02,2.659012293815612793e+01,1.827127698263035560e+00,1.330000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001643395423889160e+01,1.812183737151819241e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001484608650207520e+01,1.858973464561420874e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001549601554870605e+01,1.910803318304699516e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.400000000000000000e+01,4.855525016784667969e+00,1.551542483731738198e-01,2.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.054419994354248047e+00,3.521145843979860413e-01,2.600000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.051377820968627930e+01,4.434184937624870426e-01,5.300000000000000000e+01
0.000000000000000000e+00,-5.200000000000000000e+01,1.253455114364624023e+01,4.590927270576285468e-01,6.300000000000000000e+01
0.000000000000000000e+00,-3.700000000000000000e+01,9.503613948822021484e+00,2.868826722719918232e-01,4.800000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.244976043701171875e+00,1.346780663218641316e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.458520174026489258e+00,1.747114376312850770e-01,2.800000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.051462197303771973e+01,3.847187820258721747e-01,5.300000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,8.895859003067016602e+00,3.193604924730590322e-01,4.500000000000000000e+01
0.000000000000000000e+00,-4.600000000000000000e+01,1.132046580314636230e+01,5.001057441730166753e-01,5.700000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.650202989578247070e+00,2.101281542929339108e-01,2.400000000000000000e+01
0.000000000000000000e+00,-3.700000000000000000e+01,9.501969099044799805e+00,2.424367000374779146e-01,4.800000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+01,1.010869097709655762e+01,3.290266365870523901e-01,5.100000000000000000e+01
