human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-1.849774356221557670e-01,2.467567980089427349e-01,-2.828436663356914682e-03,-7.157133894991929944e-03,-1.878384577541925005e-01,2.434536735879501979e-01,-3.429020800078215470e-02,-1.827249625719903209e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.878384577541925005e-01,2.434536735879501979e-01,-3.429020800078215470e-02,-1.827249625719903209e-02,-1.928149723427082796e-01,2.414800402583020811e-01,-7.220223599975879314e-03,2.357073003055381796e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.928149723427082796e-01,2.414800402583020811e-01,-7.220223599975879314e-03,2.357073003055381796e-03,-1.958833386299475010e-01,2.436056126011560685e-01,-3.530206731550374066e-02,2.132762638379635464e-02,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.958833386299475010e-01,2.436056126011560685e-01,-3.530206731550374066e-02,2.132762638379635464e-02,-2.068130271702440792e-01,2.496730568626238378e-01,-7.412584265942698258e-02,3.719307972377788873e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.068130271702440792e-01,2.496730568626238378e-01,-7.412584265942698258e-02,3.719307972377788873e-02,-2.197711650041138387e-01,2.552021077925753501e-01,-4.730110998491777324e-02,1.871471037781697114e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.197711650041138387e-01,2.552021077925753501e-01,-4.730110998491777324e-02,1.871471037781697114e-02,-2.277634996371168397e-01,2.583809961001747313e-01,-3.974484526710447135e-02,1.588137651060316305e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.277634996371168397e-01,2.583809961001747313e-01,-3.974484526710447135e-02,1.588137651060316305e-02,-2.361222021432473617e-01,2.616973778681647711e-01,-4.150099492463093370e-02,1.719019167769415130e-02,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.361222021432473617e-01,2.616973778681647711e-01,-4.150099492463093370e-02,1.719019167769415130e-02,-2.411595139013171518e-01,2.646091797400644818e-01,-2.587811200765401456e-03,1.080516856346774510e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.411595139013171518e-01,2.646091797400644818e-01,-2.587811200765401456e-03,1.080516856346774510e-02,-2.441692190137242646e-01,2.643110702448006055e-01,-3.598216496764283789e-02,-1.000011014647124441e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.441692190137242646e-01,2.643110702448006055e-01,-3.598216496764283789e-02,-1.000011014647124441e-02,-2.550629057005137090e-01,2.599224676026524183e-01,-7.415070851082244952e-02,-3.093593422947853513e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.550629057005137090e-01,2.599224676026524183e-01,-7.415070851082244952e-02,-3.093593422947853513e-02,-2.680023650139932156e-01,2.515446248704353849e-01,-4.600596915486106220e-02,-5.171516906826245652e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.680023650139932156e-01,2.515446248704353849e-01,-4.600596915486106220e-02,-5.171516906826245652e-02,-2.759191722548051118e-01,2.391838142026233849e-01,-4.058052228730440331e-02,-7.085711389852682174e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.759191722548051118e-01,2.391838142026233849e-01,-4.058052228730440331e-02,-7.085711389852682174e-02,-2.812047728343781694e-01,2.221584415769608245e-01,-4.829068758842144232e-03,-9.274708064575923339e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.812047728343781694e-01,2.221584415769608245e-01,-4.829068758842144232e-03,-9.274708064575923339e-02,-2.839518888828288512e-01,2.017323378134288359e-01,-3.344902576293482671e-02,-1.111217541629382632e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.839518888828288512e-01,2.017323378134288359e-01,-3.344902576293482671e-02,-1.111217541629382632e-01,-2.915988350372252236e-01,1.772938880311371312e-01,-3.598205169047190288e-02,-1.326718530527304096e-01,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.915988350372252236e-01,1.772938880311371312e-01,-3.598205169047190288e-02,-1.326718530527304096e-01,-2.965104464469815460e-01,1.590369588212143803e-01,-6.752379426137991624e-04,1.227130691122172400e-02,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.965104464469815460e-01,1.590369588212143803e-01,-6.752379426137991624e-04,1.227130691122172400e-02,-2.965554211607132618e-01,1.626533453933750317e-01,4.930818061385986145e-04,2.799722641420159669e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.965554211607132618e-01,1.626533453933750317e-01,4.930818061385986145e-04,2.799722641420159669e-02,-2.965179889455157869e-01,1.700605519530875576e-01,8.449211673684335622e-04,4.542825148573141625e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.965179889455157869e-01,1.700605519530875576e-01,8.449211673684335622e-04,4.542825148573141625e-02,-2.993936741519112044e-01,1.820505260300840089e-01,-3.474809205577569782e-02,6.903367583539510299e-02,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.993936741519112044e-01,1.820505260300840089e-01,-3.474809205577569782e-02,6.903367583539510299e-02,-3.072110979664158803e-01,1.962926901336594365e-01,-4.070818323890398882e-02,7.101265591386338172e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.072110979664158803e-01,1.962926901336594365e-01,-4.070818323890398882e-02,7.101265591386338172e-02,-3.179762226447017115e-01,2.106533948262925560e-01,-7.349233886234902979e-02,7.062827030895350855e-02,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.179762226447017115e-01,2.106533948262925560e-01,-7.349233886234902979e-02,7.062827030895350855e-02,-3.308483129725654504e-01,2.249330222655019917e-01,-4.764339206260845283e-02,7.248335622091760244e-02,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.308483129725654504e-01,2.249330222655019917e-01,-4.764339206260845283e-02,7.248335622091760244e-02,-3.416882173277016044e-01,2.392275452560951865e-01,-7.139145613350672548e-02,7.060672913860015221e-02,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.416882173277016044e-01,2.392275452560951865e-01,-7.139145613350672548e-02,7.060672913860015221e-02,-3.554288857338988583e-01,2.534794149990534651e-01,-4.773292340893073998e-02,6.048402457096078988e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.554288857338988583e-01,2.534794149990534651e-01,-4.773292340893073998e-02,6.048402457096078988e-02,-3.541792263683509745e-01,2.635012437895051240e-01,3.376387360755604000e-02,4.022623596133993035e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.541792263683509745e-01,2.635012437895051240e-01,3.376387360755604000e-02,4.022623596133993035e-02,-3.494802653205950627e-01,2.696123573260833517e-01,4.845698930016096098e-03,2.028147048033232883e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.494802653205950627e-01,2.696123573260833517e-01,4.845698930016096098e-03,2.028147048033232883e-02,-3.467776554093265351e-01,2.716564126838733606e-01,3.254834343849224293e-02,3.164214178848881497e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.467776554093265351e-01,2.716564126838733606e-01,3.254834343849224293e-02,3.164214178848881497e-04,-3.361628284022902258e-01,2.696996672537128603e-01,7.291426732247607845e-02,-1.941426221375241318e-02,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.361628284022902258e-01,2.696996672537128603e-01,7.291426732247607845e-02,-1.941426221375241318e-02,-3.195988465849083915e-01,2.637634037801666609e-01,7.943151448107764467e-02,-2.830102349908799469e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.195988465849083915e-01,2.637634037801666609e-01,7.943151448107764467e-02,-2.830102349908799469e-02,-3.035563792843751219e-01,2.582899438333832176e-01,8.038818668473399209e-02,-3.558601821931471620e-02,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.035563792843751219e-01,2.582899438333832176e-01,8.038818668473399209e-02,-3.558601821931471620e-02,-2.904653766487623745e-01,2.501965163266178793e-01,4.604859282527710290e-02,-3.726227160923076265e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.904653766487623745e-01,2.501965163266178793e-01,4.604859282527710290e-02,-3.726227160923076265e-02,-2.823279318441386243e-01,2.448547313005282056e-01,3.758294641208813347e-02,-1.888573992439960061e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.823279318441386243e-01,2.448547313005282056e-01,3.758294641208813347e-02,-1.888573992439960061e-02,-2.772997236123514453e-01,2.434662318790705715e-01,5.737335637187113493e-03,-1.375989338171460658e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-2.772997236123514453e-01,2.434662318790705715e-01,5.737335637187113493e-03,-1.375989338171460658e-03,-2.741648086847375820e-01,2.411196456072695060e-01,3.893153422672075703e-02,-1.408821693192148158e-02,2.000000000000000042e-02,2.000000000000000111e-01
