expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.150000000000000000e+02,2.564394116401672363e+01,1.931938117882756600e+00,1.260000000000000000e+02
0.000000000000000000e+00,-5.400000000000000000e+01,1.313428616523742676e+01,8.729317374957364928e-01,6.500000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.099178075790405273e+00,2.891677062138829357e-01,2.100000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.904278993606567383e+00,3.135522311572522813e-01,2.000000000000000000e+01
0.000000000000000000e+00,-4.100000000000000000e+01,1.047803688049316406e+01,8.760610589736436138e-01,5.200000000000000000e+01
0.000000000000000000e+00,-5.900000000000000000e+01,1.417447590827941895e+01,1.110831472841596446e+00,7.000000000000000000e+01
0.000000000000000000e+00,-2.100000000000000000e+01,6.362802028656005859e+00,5.363100558161610909e-01,3.200000000000000000e+01
0.000000000000000000e+00,6.000000000000000000e+00,8.248300552368164062e-01,8.850183509958475803e-02,5.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.232825040817260742e+00,9.840087257849899904e-02,7.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+01,4.126961946487426758e+00,3.046710981668673823e-01,2.100000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.744333982467651367e+00,4.370350838401380056e-01,2.400000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01,9.067933082580566406e+00,6.332529820335048854e-01,4.500000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.059010982513427734e+00,1.140601467829822635e-01,1.100000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.211697101593017578e+00,4.017104554549199014e-01,3.600000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+01,1.237427902221679688e+01,1.008905201168663668e+00,6.100000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,1.241871118545532227e+00,1.013086948938027310e-01,7.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.651853084564208984e+00,9.973392568149817838e-02,9.000000000000000000e+00
0.000000000000000000e+00,-3.400000000000000000e+01,9.078059911727905273e+00,8.179249682269040811e-01,4.500000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.481880903244018555e+00,2.104076327371388888e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.539674043655395508e+00,4.182549198378565647e-01,2.300000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.122435092926025391e+00,5.041831929939297741e-01,2.100000000000000000e+01
0.000000000000000000e+00,7.000000000000000000e+00,6.207010746002197266e-01,7.864989743601608074e-02,4.000000000000000000e+00
0.000000000000000000e+00,-5.400000000000000000e+01,1.318785500526428223e+01,1.611680681412307692e+00,6.500000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.478338003158569336e+00,2.809940916517290055e-01,1.300000000000000000e+01
0.000000000000000000e+00,7.000000000000000000e+00,6.217989921569824219e-01,8.400621810004740841e-02,4.000000000000000000e+00
0.000000000000000000e+00,-2.100000000000000000e+01,6.392446041107177734e+00,8.047364421552049008e-01,3.200000000000000000e+01
0.000000000000000000e+00,-5.600000000000000000e+01,1.359777212142944336e+01,1.763739574602805504e+00,6.700000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.038982152938842773e+00,8.113943883758020781e-02,6.000000000000000000e+00
0.000000000000000000e+00,-4.600000000000000000e+01,1.154765892028808594e+01,1.585351252789876542e+00,5.700000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.686851978302001953e+00,3.108448002548484523e-01,1.400000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.035883188247680664e+00,1.181090587432282457e-01,6.000000000000000000e+00
0.000000000000000000e+00,-9.000000000000000000e+00,3.913464069366455078e+00,4.999661752569785067e-01,2.000000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.072353100776672363e+01,1.393188671961956615e+00,5.300000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.361790895462036133e+00,5.682017462155101173e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.155215024948120117e+00,4.728233432178209905e-01,2.600000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.033694028854370117e+00,7.892981180027364152e-02,6.000000000000000000e+00
0.000000000000000000e+00,-2.600000000000000000e+01,7.419070959091186523e+00,8.361220039805457027e-01,3.700000000000000000e+01
0.000000000000000000e+00,7.000000000000000000e+00,6.189448833465576172e-01,8.450835846215962177e-02,4.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000000e+00,3.091147899627685547e+00,3.157745744299059187e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.970864057540893555e+00,6.395232103729420192e-01,3.000000000000000000e+01
