expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+01,2.831239938735961914e+00,8.534917498904774635e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.831895112991333008e+00,1.231217300399740366e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.828951120376586914e+00,1.127967232701193728e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.829184055328369141e+00,7.666270049260082153e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.834043979644775391e+00,7.752920101643931416e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.829504013061523438e+00,7.972386683549363695e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.829004049301147461e+00,2.472841232277638579e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.830012083053588867e+00,6.476707087997934931e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.828793048858642578e+00,1.917269266181149401e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.839348077774047852e+00,1.734066298351900903e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.839384078979492188e+00,7.779664980281804365e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.840481996536254883e+00,1.109714745813178555e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.839548110961914062e+00,6.370942315332604744e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.840129137039184570e+00,1.714912232196814657e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.839654922485351562e+00,1.707292173950317182e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.841974973678588867e+00,1.510428670564481458e-04,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.838841915130615234e+00,9.963739559216958086e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.840418100357055664e+00,1.816390539937151882e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.840738058090209961e+00,1.243910669638014083e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.839807033538818359e+00,2.893321328513592805e-02,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.842217922210693359e+00,9.617240650336668026e-05,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.840345144271850586e+00,1.112634292533433824e-04,1.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,2.840645074844360352e+00,2.209032009655493428e-02,1.500000000000000000e+01
