human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,0.000000000000000000e+00,-1.853378587173588055e-01,3.316664074222236414e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.853333226835703895e-01,3.316646030417687019e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.853333226835703895e-01,3.316646030417687019e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.853307380642124080e-01,3.316556441734260230e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.853307380642124080e-01,3.316556441734260230e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.883657880303643284e-01,3.316834001320281833e-01,-3.619159885481184474e-02,-1.072886225802671862e-04,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.883657880303643284e-01,3.316834001320281833e-01,-3.619159885481184474e-02,-1.072886225802671862e-04,-1.933710256139083983e-01,3.316237302049571123e-01,-6.198020982605360191e-03,-1.240843446123768290e-03,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.933710256139083983e-01,3.316237302049571123e-01,-6.198020982605360191e-03,-1.240843446123768290e-03,-1.933154726175225213e-01,3.293302589544166437e-01,9.016611514732156968e-04,-2.267635851539138644e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.933154726175225213e-01,3.293302589544166437e-01,9.016611514732156968e-04,-2.267635851539138644e-02,-1.932883218659011137e-01,3.229254397215660655e-01,1.118137943974835749e-03,-4.165381931552292888e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-1.932883218659011137e-01,3.229254397215660655e-01,1.118137943974835749e-03,-4.165381931552292888e-02,-1.962789799908105648e-01,3.126042299476246011e-01,-3.426556687864047018e-02,-6.176879670853532844e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.962789799908105648e-01,3.126042299476246011e-01,-3.426556687864047018e-02,-6.176879670853532844e-02,-2.072864725065366731e-01,2.982738823377510395e-01,-7.355442429943757909e-02,-8.211497052235562644e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.072864725065366731e-01,2.982738823377510395e-01,-7.355442429943757909e-02,-8.211497052235562644e-02,-2.270761134906516820e-01,2.790188091064984000e-01,-1.159600668336466800e-01,-1.029745263895667784e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.270761134906516820e-01,2.790188091064984000e-01,-1.159600668336466800e-01,-1.029745263895667784e-01,-2.544038974761909100e-01,2.605082966906290820e-01,-1.561982323489384539e-01,-8.289324651264776134e-02,2.000000000000000042e-02,-2.000000000000000111e-01
