expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.001031208038330078e+01,1.827999319849377136e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001195716857910156e+01,2.550882596440112060e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001419281959533691e+01,1.868555552802372510e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001237010955810547e+01,2.248730304120639900e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.001068806648254395e+01,2.163429870203971372e+00,1.500000000000000000e+02
0.000000000000000000e+00,-3.700000000000000000e+01,9.466697931289672852e+00,7.549555659459478152e-01,4.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.001015114784240723e+01,2.114946568617149136e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+00,3.626142024993896484e+00,1.627612909605463676e-01,1.900000000000000000e+01
0.000000000000000000e+00,-6.800000000000000000e+01,1.571193814277648926e+01,1.178052957417602187e+00,7.900000000000000000e+01
0.000000000000000000e+00,-7.900000000000000000e+01,1.792697095870971680e+01,1.613370415764191046e+00,9.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012211608886718750e+01,2.068419575932807675e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.130000000000000000e+02,2.486928296089172363e+01,1.762901602261611744e+00,1.240000000000000000e+02
0.000000000000000000e+00,-5.200000000000000000e+01,1.253152394294738770e+01,9.494493288909916506e-01,6.300000000000000000e+01
0.000000000000000000e+00,-6.900000000000000000e+01,1.597237086296081543e+01,1.098813733477669974e+00,8.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.011749887466430664e+01,2.105046549821556034e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.011949396133422852e+01,2.306918175747813216e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012154388427734375e+01,2.788253184114909189e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012158489227294922e+01,2.100512163332196369e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012174201011657715e+01,1.682859427790175388e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012066602706909180e+01,2.098356020216007423e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.012260007858276367e+01,2.225930160119789836e+00,1.500000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.820555925369262695e+00,1.327196154183759580e-01,1.000000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.224670171737670898e+00,1.141809832921078793e-01,1.200000000000000000e+01
