human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-3.447337421059343265e-01,1.724142518397787927e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.416853710930237709e-01,1.723601045997589787e-01,3.492986453738968627e-02,3.262539664367923370e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.416853710930237709e-01,1.723601045997589787e-01,3.492986453738968627e-02,3.262539664367923370e-04,-3.304589164725644235e-01,1.724012055155516310e-01,7.447267357212727923e-02,-3.816694238682254658e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.304589164725644235e-01,1.724012055155516310e-01,7.447267357212727923e-02,-3.816694238682254658e-04,-3.145113400260098335e-01,1.724033459601816420e-01,7.929842000969715421e-02,2.501203900551023096e-03,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.145113400260098335e-01,1.724033459601816420e-01,7.929842000969715421e-02,2.501203900551023096e-03,-2.985106997892980063e-01,1.749774007899872197e-01,8.052004023763370544e-02,2.127572765513000008e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.985106997892980063e-01,1.749774007899872197e-01,8.052004023763370544e-02,2.127572765513000008e-02,-2.855582016938337242e-01,1.816297154630972799e-01,4.396037208077328146e-02,4.190964452519132383e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.855582016938337242e-01,1.816297154630972799e-01,4.396037208077328146e-02,4.190964452519132383e-02,-2.805314415390921523e-01,1.928471903713341595e-01,4.531598240994634368e-03,6.346697571640723401e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.805314415390921523e-01,1.928471903713341595e-01,4.531598240994634368e-03,6.346697571640723401e-02,-2.808004517217823071e-01,2.077103371487580286e-01,-9.077006148374437613e-04,8.396079601916982271e-02,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.808004517217823071e-01,2.077103371487580286e-01,-9.077006148374437613e-04,8.396079601916982271e-02,-2.809544378032071688e-01,2.262091016007317656e-01,-8.423597565405844005e-04,9.203280945960100323e-02,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-2.809544378032071688e-01,2.262091016007317656e-01,-8.423597565405844005e-04,9.203280945960100323e-02,-2.842547229985268320e-01,2.424537922338222684e-01,-3.592382382731663937e-02,7.326591675040235174e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.842547229985268320e-01,2.424537922338222684e-01,-3.592382382731663937e-02,7.326591675040235174e-02,-2.956280062629519922e-01,2.547175040375733723e-01,-7.905371080442881448e-02,5.053361095978615991e-02,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.956280062629519922e-01,2.547175040375733723e-01,-7.905371080442881448e-02,5.053361095978615991e-02,-3.088499818292165799e-01,2.628053540566211987e-01,-4.356020976832519764e-02,3.436704130701450505e-02,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.088499818292165799e-01,2.628053540566211987e-01,-4.356020976832519764e-02,3.436704130701450505e-02,-3.202562654100600259e-01,2.671090401820178095e-01,-7.537233371948698357e-02,9.834963677857470193e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
